"","system","country","origin","status","url","class","Date"
"1","122mm 2S1 Gvozdika",NA,"Soviet Union","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/x1nDQ4cP/Screenshot-8055.png","Self-Propelled Artillery","02/24/2022"
"2","122mm 2S1 Gvozdika",NA,"Soviet Union","captured","https://web.archive.org/web/20220224231142/https://postimg.cc/dh3pzgQm","Self-Propelled Artillery","02/24/2022"
"3","1L22 'Parol'",NA,"Soviet Union","damaged","https://web.archive.org/web/20220224231142/https://postimg.cc/9Dcvz02c","Radars","02/24/2022"
"4","1L22 'Parol'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/SRjk0C96/6659.png","Radars","02/24/2022"
"5","5P85D (launcher for S-300PS)",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/50rg9crH/4488.png","Surface-To-Air Missile Systems","02/24/2022"
"6","9P149 Shturm-S ATGM carrier",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/DwY6rjLd/659.png","Armoured Fighting Vehicles","02/24/2022"
"7","An-26 transport aircraft",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/rmdB2PLQ/489.png","Aircraft","02/24/2022"
"8","An-26 transport aircraft",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/R0ppMFNQ/448.png","Aircraft","02/24/2022"
"9","BMP-2",NA,"Soviet Union","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/T1HJcX0f/776.png","Infantry Fighting Vehicles","02/24/2022"
"10","BRM-1K",NA,"Soviet Union","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/ZnMyg04W/6669.jpg ","Armoured Fighting Vehicles","02/24/2022"
"11","BTR-4",NA,"Ukraine","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/bYFbd2PW/6658.png","Infantry Fighting Vehicles","02/24/2022"
"12","BTR-4",NA,"Ukraine","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/tCP3NpHR/c1.png","Infantry Fighting Vehicles","02/24/2022"
"13","BTR-4",NA,"Ukraine","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/W42RL0Ld/5554.png","Infantry Fighting Vehicles","02/24/2022"
"14","BTR-4",NA,"Ukraine","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/htB9C6SL/c2.png","Infantry Fighting Vehicles","02/24/2022"
"15","BTR-70",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220224231142/https://i.postimg.cc/RCWcTD3F/579.png","Armoured Personnel Carriers","02/24/2022"
"16","BTR-70",NA,"Soviet Union","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/9FS2wLRZ/Screenshot-8016.png","Armoured Personnel Carriers","02/24/2022"
"17","GAZ Tigr-M",NA,"Russia","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/W1VpzFcv/5578.png","Infantry Mobility Vehicles","02/24/2022"
"18","GAZ Tigr-M",NA,"Russia","damaged","https://web.archive.org/web/20220224231142/https://i.postimg.cc/ZKDrDbck/85.png","Infantry Mobility Vehicles","02/24/2022"
"19","GAZ-66",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://postimg.cc/PP20VdH5","Trucks, Vehicles, and Jeeps","02/24/2022"
"20","GAZ-66",NA,"Soviet Union","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/9MGPZgQM/Screenshot-8017.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"21","GAZ-66",NA,"Soviet Union","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/1RVZrFkD/Screenshot-8053.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"22","GAZ-66",NA,"Soviet Union","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/jdz0Gbd5/Screenshot-8054.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"23","GAZ-66",NA,"Soviet Union","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/ncy3jWxy/55488.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"24","IMR-2 combat engineering vehicle",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/xdbysNZ7/5548.png","Engineering Vehicles","02/24/2022"
"25","KamAZ",NA,"Russia","damaged","https://web.archive.org/web/20220224231142/https://i.postimg.cc/kGnW3KWg/880.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"26","KamAZ",NA,"Russia","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/VkXF0qmD/6599.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"27","KamAZ",NA,"Russia","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/K8dLcdtV/h0.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"28","KamAZ",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/6pr9sdqZ/Screenshot-8019.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"29","KamAZ",NA,"Russia","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/Bbj44g2S/5580.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"30","KamAZ",NA,"Russia","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/YSQ2ps72/r2.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"31","KamAZ-5350 with EOV-3523 excavator",NA,"Russia","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/bvhJB8xz/774.png","Engineering Vehicles","02/24/2022"
"32","Kozak-2",NA,"Ukraine","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/L6pqJk7y/58.png","Infantry Mobility Vehicles","02/24/2022"
"33","MT-LB",NA,"Soviet Union","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/P5M1XV5z/58.png","Armoured Fighting Vehicles","02/24/2022"
"34","MT-LB",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/0QPGdgX4/6658.png","Armoured Fighting Vehicles","02/24/2022"
"35","MT-LB",NA,"Soviet Union","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/hjqg1p15/680.png","Armoured Fighting Vehicles","02/24/2022"
"36","MT-LB with ZU-23 AA gun",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://postimg.cc/kVDPCNz0","Armoured Fighting Vehicles","02/24/2022"
"37","MT-LBu",NA,"Soviet Union","damaged","https://web.archive.org/web/20220224231142/https://i.postimg.cc/ZYHxJ6rp/Screenshot-8036.png","Armoured Fighting Vehicles","02/24/2022"
"38","P-14 'Tall King'",NA,"Soviet Union","damaged","https://web.archive.org/web/20220224231142/https://i.postimg.cc/rpWmrPLb/57.png","Radars","02/24/2022"
"39","P-35/37 'Bar Lock'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/WpShQwBk/5547.png","Radars","02/24/2022"
"40","PRV-13 'Odd Pair'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/pXwx79Lj/557.png","Radars","02/24/2022"
"41","Su-27 fighter aircraft",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/XYtMphyC/5h.png","Aircraft","02/24/2022"
"42","T-64BV",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/mgntjg7P/763.png","Tanks","02/24/2022"
"43","T-80BVM",NA,"Russia","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/2y474krg/336.png","Tanks","02/24/2022"
"44","TMM-3 bridge layer",NA,"Soviet Union","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/FRhY7mzP/75.png","Engineering Vehicles","02/24/2022"
"45","UAZ-469",NA,"Soviet Union","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/tgpMs65F/Screenshot-8026.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"46","Unknown truck",NA,"Ukraine","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/vBdfY7td/Screenshot-8019.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"47","Unknown truck",NA,"Ukraine","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/jScSwHTb/Screenshot-8020.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"48","Ural-375D",NA,"Soviet Union","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/FKC8wRyc/Screenshot-8025.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"49","Ural-4320",NA,"Russia","damaged","https://web.archive.org/web/20220224231142/https://postimg.cc/kVDPCNz0","Trucks, Vehicles, and Jeeps","02/24/2022"
"50","Ural-4320",NA,"Russia","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/pXL1Kn3v/5583.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"51","Ural-4320",NA,"Russia","captured","https://web.archive.org/web/20220224231142/https://i.postimg.cc/Z5GKzh1D/r1.png","Trucks, Vehicles, and Jeeps","02/24/2022"
"52","ZiL-131",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220224231142/https://i.postimg.cc/t4mkVgHr/36.png","Trucks, Vehicles, and Jeeps","02/24/2022"
