"year","detections","total_frp","window","days","detections_per_day","frp_per_day","window_label","partial"
2022,16285,112315.650000001,"donbas_oper",311,52.3633440514469,361.143569131836,"Donbas operational (medium)",FALSE
2023,7200,52859.14,"donbas_oper",365,19.7260273972603,144.819561643836,"Donbas operational (medium)",FALSE
2024,30150,238316.570000001,"donbas_oper",366,82.3770491803279,651.138169398909,"Donbas operational (medium)",FALSE
2025,20635,173357.409999999,"donbas_oper",365,56.5342465753425,474.951808219174,"Donbas operational (medium)",FALSE
2026,1801,9223.01000000001,"donbas_oper",152,11.8486842105263,60.6776973684211,"Donbas operational (medium)",TRUE
2022,26942,199712.949999999,"east_theatre",311,86.6302250803859,642.163826366556,"Eastern theatre (wide)",FALSE
2023,17837,132985.34,"east_theatre",365,48.8684931506849,364.343397260275,"Eastern theatre (wide)",FALSE
2024,58469,503398.299999997,"east_theatre",366,159.751366120219,1375.40519125682,"Eastern theatre (wide)",FALSE
2025,34982,286939.419999999,"east_theatre",365,95.841095890411,786.135397260272,"Eastern theatre (wide)",FALSE
2026,4389,25493.03,"east_theatre",152,28.875,167.717302631579,"Eastern theatre (wide)",TRUE
2022,1789,13771.01,"pokrovsk_axis",311,5.7524115755627,44.2797749196141,"Pokrovsk axis (tight)",FALSE
2023,1065,8128.92999999999,"pokrovsk_axis",365,2.91780821917808,22.2710410958904,"Pokrovsk axis (tight)",FALSE
2024,6627,41641.2,"pokrovsk_axis",366,18.1065573770492,113.773770491803,"Pokrovsk axis (tight)",FALSE
2025,6182,41641.71,"pokrovsk_axis",365,16.9369863013699,114.086876712329,"Pokrovsk axis (tight)",FALSE
2026,601,2304.06,"pokrovsk_axis",152,3.95394736842105,15.1582894736842,"Pokrovsk axis (tight)",TRUE
2022,81904,610337.300000004,"ukraine_all",311,263.35691318328,1962.4993569132,"Ukraine (whole country)",FALSE
2023,55853,404272.089999994,"ukraine_all",365,153.021917808219,1107.59476712327,"Ukraine (whole country)",FALSE
2024,127269,1023920.12000002,"ukraine_all",366,347.729508196721,2797.5959562842,"Ukraine (whole country)",FALSE
2025,86842,707069.599999995,"ukraine_all",365,237.923287671233,1937.17698630135,"Ukraine (whole country)",FALSE
2026,18213,130083.250000001,"ukraine_all",152,119.822368421053,855.810855263162,"Ukraine (whole country)",TRUE
