"country","year","month","losses","year_fct","category"
"Russia",2022,2,40,"2022","Tanks"
"Russia",2022,3,311,"2022","Tanks"
"Russia",2022,4,249,"2022","Tanks"
"Russia",2022,5,155,"2022","Tanks"
"Russia",2022,6,88,"2022","Tanks"
"Russia",2022,7,125,"2022","Tanks"
"Russia",2022,8,82,"2022","Tanks"
"Russia",2022,9,244,"2022","Tanks"
"Russia",2022,10,230,"2022","Tanks"
"Russia",2022,11,107,"2022","Tanks"
"Russia",2022,12,90,"2022","Tanks"
"Russia",2023,1,76,"2023","Tanks"
"Russia",2023,2,124,"2023","Tanks"
"Russia",2023,3,131,"2023","Tanks"
"Russia",2023,4,39,"2023","Tanks"
"Russia",2023,5,93,"2023","Tanks"
"Russia",2023,6,84,"2023","Tanks"
"Russia",2023,7,107,"2023","Tanks"
"Russia",2023,8,89,"2023","Tanks"
"Russia",2023,9,61,"2023","Tanks"
"Russia",2023,10,108,"2023","Tanks"
"Russia",2023,11,103,"2023","Tanks"
"Russia",2023,12,111,"2023","Tanks"
"Russia",2024,1,90,"2024","Tanks"
"Russia",2024,2,94,"2024","Tanks"
"Russia",2024,3,109,"2024","Tanks"
"Russia",2024,4,85,"2024","Tanks"
"Russia",2024,5,141,"2024","Tanks"
"Russia",2024,6,103,"2024","Tanks"
"Russia",2024,7,107,"2024","Tanks"
"Russia",2024,8,60,"2024","Tanks"
"Russia",2024,9,79,"2024","Tanks"
"Russia",2024,10,94,"2024","Tanks"
"Russia",2024,11,85,"2024","Tanks"
"Russia",2024,12,74,"2024","Tanks"
"Russia",2025,1,54,"2025","Tanks"
"Russia",2025,2,75,"2025","Tanks"
"Russia",2025,3,54,"2025","Tanks"
"Russia",2025,4,115,"2025","Tanks"
"Russia",2025,5,85,"2025","Tanks"
"Russia",2025,6,30,"2025","Tanks"
"Russia",2025,7,23,"2025","Tanks"
"Russia",2025,8,31,"2025","Tanks"
"Russia",2025,9,40,"2025","Tanks"
"Russia",2025,10,59,"2025","Tanks"
"Russia",2025,11,39,"2025","Tanks"
"Russia",2025,12,53,"2025","Tanks"
"Russia",2026,1,30,"2026","Tanks"
"Russia",2026,2,16,"2026","Tanks"
"Russia",2026,3,30,"2026","Tanks"
"Russia",2026,4,18,"2026","Tanks"
"Russia",2026,5,9,"2026","Tanks"
"Russia",2026,6,0,"2026","Tanks"
"Ukraine",2022,2,14,"2022","Tanks"
"Ukraine",2022,3,72,"2022","Tanks"
"Ukraine",2022,4,58,"2022","Tanks"
"Ukraine",2022,5,43,"2022","Tanks"
"Ukraine",2022,6,12,"2022","Tanks"
"Ukraine",2022,7,33,"2022","Tanks"
"Ukraine",2022,8,16,"2022","Tanks"
"Ukraine",2022,9,31,"2022","Tanks"
"Ukraine",2022,10,70,"2022","Tanks"
"Ukraine",2022,11,40,"2022","Tanks"
"Ukraine",2022,12,68,"2022","Tanks"
"Ukraine",2023,1,15,"2023","Tanks"
"Ukraine",2023,2,23,"2023","Tanks"
"Ukraine",2023,3,22,"2023","Tanks"
"Ukraine",2023,4,13,"2023","Tanks"
"Ukraine",2023,5,18,"2023","Tanks"
"Ukraine",2023,6,49,"2023","Tanks"
"Ukraine",2023,7,38,"2023","Tanks"
"Ukraine",2023,8,36,"2023","Tanks"
"Ukraine",2023,9,28,"2023","Tanks"
"Ukraine",2023,10,32,"2023","Tanks"
"Ukraine",2023,11,16,"2023","Tanks"
"Ukraine",2023,12,31,"2023","Tanks"
"Ukraine",2024,1,18,"2024","Tanks"
"Ukraine",2024,2,13,"2024","Tanks"
"Ukraine",2024,3,34,"2024","Tanks"
"Ukraine",2024,4,23,"2024","Tanks"
"Ukraine",2024,5,36,"2024","Tanks"
"Ukraine",2024,6,25,"2024","Tanks"
"Ukraine",2024,7,20,"2024","Tanks"
"Ukraine",2024,8,30,"2024","Tanks"
"Ukraine",2024,9,38,"2024","Tanks"
"Ukraine",2024,10,20,"2024","Tanks"
"Ukraine",2024,11,17,"2024","Tanks"
"Ukraine",2024,12,35,"2024","Tanks"
"Ukraine",2025,1,45,"2025","Tanks"
"Ukraine",2025,2,28,"2025","Tanks"
"Ukraine",2025,3,33,"2025","Tanks"
"Ukraine",2025,4,41,"2025","Tanks"
"Ukraine",2025,5,36,"2025","Tanks"
"Ukraine",2025,6,14,"2025","Tanks"
"Ukraine",2025,7,25,"2025","Tanks"
"Ukraine",2025,8,24,"2025","Tanks"
"Ukraine",2025,9,33,"2025","Tanks"
"Ukraine",2025,10,27,"2025","Tanks"
"Ukraine",2025,11,22,"2025","Tanks"
"Ukraine",2025,12,32,"2025","Tanks"
"Ukraine",2026,1,17,"2026","Tanks"
"Ukraine",2026,2,5,"2026","Tanks"
"Ukraine",2026,3,16,"2026","Tanks"
"Ukraine",2026,4,14,"2026","Tanks"
"Ukraine",2026,5,5,"2026","Tanks"
"Ukraine",2026,6,0,"2026","Tanks"
