"","country","system","captured","damaged","destroyed","abandoned","total","Date"
"1",NA,"122mm 2S1 Gvozdika",2,0,0,0,2,2022-02-24
"2",NA,"1L22 'Parol'",0,1,1,0,2,2022-02-24
"3",NA,"5P85D (launcher for S-300PS)",0,0,1,0,1,2022-02-24
"4",NA,"9P149 Shturm-S ATGM carrier",0,0,1,0,1,2022-02-24
"5",NA,"An-26 transport aircraft",0,0,2,0,2,2022-02-24
"6",NA,"BMP-1",0,0,1,3,4,2022-02-24
"7",NA,"BMP-2",1,0,0,0,1,2022-02-24
"8",NA,"BRM-1K",1,0,0,0,1,2022-02-24
"9",NA,"BTR-4",2,0,2,0,4,2022-02-24
"10",NA,"BTR-70",1,0,0,1,2,2022-02-24
"11",NA,"GAZ Tigr-M",0,1,1,0,2,2022-02-24
"12",NA,"GAZ-66",4,0,1,0,5,2022-02-24
"13",NA,"IMR-2 combat engineering vehicle",0,0,1,0,1,2022-02-24
"14",NA,"Ka-52 'Alligator'",0,1,1,0,2,2022-02-24
"15",NA,"KamAZ",3,1,2,0,6,2022-02-24
"16",NA,"KamAZ-5350 with EOV-3523 excavator",1,0,0,0,1,2022-02-24
"17",NA,"KamAZ-63968 Typhoon",1,0,0,0,1,2022-02-24
"18",NA,"Kozak-2",0,0,1,0,1,2022-02-24
"19",NA,"KrAZ-260",5,0,1,0,6,2022-02-24
"20",NA,"MT-LB",2,0,1,0,3,2022-02-24
"21",NA,"MT-LB with ZU-23 AA gun",0,0,1,0,1,2022-02-24
"22",NA,"MT-LBu",0,1,0,1,2,2022-02-24
"23",NA,"P-14 'Tall King'",0,1,0,0,1,2022-02-24
"24",NA,"P-35/37 'Bar Lock'",0,0,1,0,1,2022-02-24
"25",NA,"PRV-13 'Odd Pair'",0,0,1,0,1,2022-02-24
"26",NA,"Su-25 strike aircraft",0,0,1,0,1,2022-02-24
"27",NA,"Su-27 fighter aircraft",0,0,1,0,1,2022-02-24
"28",NA,"T-64BV",0,0,1,0,1,2022-02-24
"29",NA,"T-80BVM",0,0,1,0,1,2022-02-24
"30",NA,"TMM-3 bridge layer",1,0,0,0,1,2022-02-24
"31",NA,"Tor-M2",0,0,1,0,1,2022-02-24
"32",NA,"UAZ-469",1,0,0,0,1,2022-02-24
"33",NA,"Unknown truck",0,0,2,0,2,2022-02-24
"34",NA,"Ural-375D",1,0,0,0,1,2022-02-24
"35",NA,"Ural-4320",2,1,0,0,3,2022-02-24
"36",NA,"ZiL-131",0,0,1,0,1,2022-02-24
